server_timestamp,arduino_timestamp,X,Y,Z
2025-11-02 20:34:42.705,1091671,-0.312,-0.969,0.219
2025-11-02 20:34:42.950,1091907,-0.625,-0.719,0.156
2025-11-02 20:34:43.183,1092151,-0.750,-0.594,0.094
2025-11-02 20:34:43.434,1092389,-0.812,-0.500,-0.031
2025-11-02 20:34:43.667,1092638,-0.844,-0.500,-0.031
2025-11-02 20:34:43.915,1092877,-0.844,-0.437,-0.062
2025-11-02 20:34:44.155,1093125,-0.812,-0.531,-0.094
2025-11-02 20:34:44.380,1093354,-0.687,-0.812,0.125
2025-11-02 20:34:44.611,1093582,-0.187,-0.844,0.219
2025-11-02 20:34:44.840,1093814,0.250,-0.750,0.406
2025-11-02 20:34:45.070,1094042,0.437,-0.625,0.437
2025-11-02 20:34:45.301,1094271,0.344,-0.656,0.312
2025-11-02 20:34:45.537,1094511,0.062,-0.812,0.375
2025-11-02 20:34:45.765,1094739,-0.187,-0.781,0.375
2025-11-02 20:34:45.994,1094968,-0.531,-0.875,0.219
2025-11-02 20:34:46.229,1095196,-0.656,-0.625,0.219
2025-11-02 20:34:46.465,1095434,-0.750,-0.625,0.219
2025-11-02 20:34:46.710,1095674,-0.781,-0.562,0.094
2025-11-02 20:34:46.946,1095912,-0.812,-0.625,0.125
2025-11-02 20:34:47.176,1096150,-0.687,-0.719,0.344
2025-11-02 20:34:47.416,1096378,-0.062,-1.062,0.562
2025-11-02 20:34:47.646,1096619,0.375,-0.562,0.187
2025-11-02 20:34:47.874,1096847,0.469,-0.625,0.312
2025-11-02 20:34:48.113,1097085,0.312,-0.719,0.281
2025-11-02 20:34:48.343,1097315,-0.125,-0.750,0.500
2025-11-02 20:34:48.571,1097543,-0.469,-0.906,0.281
2025-11-02 20:34:48.801,1097774,-0.625,-0.687,0.062
2025-11-02 20:34:49.027,1098002,-0.781,-0.562,0.000
2025-11-02 20:34:49.260,1098230,-0.812,-0.531,-0.062
2025-11-02 20:34:49.486,1098460,-0.844,-0.469,-0.062
2025-11-02 20:34:49.713,1098688,-0.906,-0.469,0.000
2025-11-02 20:34:49.942,1098915,-0.781,-0.656,0.062
2025-11-02 20:34:50.189,1099153,-0.500,-0.969,0.281
2025-11-02 20:34:50.435,1099396,0.125,-0.844,0.125
2025-11-02 20:34:50.677,1099643,0.500,-0.562,0.219
2025-11-02 20:34:50.914,1099881,0.375,-0.625,0.187
2025-11-02 20:34:51.151,1100117,-0.187,-0.875,0.281
2025-11-02 20:34:51.387,1100354,-0.437,-0.812,0.031
2025-11-02 20:34:51.629,1100595,-0.687,-0.656,0.094
2025-11-02 20:34:51.866,1100836,-0.781,-0.656,0.000
2025-11-02 20:34:52.102,1101074,-0.812,-0.500,-0.125
2025-11-02 20:34:52.333,1101303,-0.812,-0.500,-0.094
2025-11-02 20:34:52.567,1101535,-0.781,-0.437,-0.094
2025-11-02 20:34:52.808,1101773,-0.750,-0.375,-0.031
2025-11-02 20:34:53.034,1102007,-0.781,-0.312,-0.125
2025-11-02 20:34:53.268,1102235,-0.906,-0.344,-0.094
2025-11-02 20:34:53.503,1102473,-1.031,-0.250,-0.094
2025-11-02 20:34:53.744,1102711,-0.937,-0.125,-0.062
2025-11-02 20:34:53.984,1102949,-0.937,-0.156,-0.094
2025-11-02 20:34:54.227,1103193,-1.125,-0.500,-0.062
2025-11-02 20:34:54.462,1103431,-1.125,-0.187,-0.094
2025-11-02 20:34:54.695,1103669,-0.875,-0.312,-0.031
2025-11-02 20:34:54.923,1103898,-0.750,-0.281,-0.031
2025-11-02 20:34:55.152,1104126,-0.844,-0.406,0.000
2025-11-02 20:34:55.382,1104354,-0.781,-0.375,-0.094
2025-11-02 20:34:55.615,1104585,-0.812,-0.437,-0.125
2025-11-02 20:34:55.850,1104825,-0.875,-0.406,-0.219
2025-11-02 20:34:56.079,1105053,-0.750,-0.375,-0.250
2025-11-02 20:34:56.320,1105282,-0.687,-0.469,-0.250
2025-11-02 20:34:56.550,1105520,-0.750,-0.562,-0.125
2025-11-02 20:34:56.777,1105749,-0.875,-0.531,-0.094
2025-11-02 20:34:57.006,1105978,-0.781,-0.469,-0.062
2025-11-02 20:34:57.232,1106206,-0.719,-0.562,-0.156
2025-11-02 20:34:57.473,1106444,-0.781,-0.469,-0.187
2025-11-02 20:34:57.709,1106683,-0.812,-0.531,-0.250
2025-11-02 20:34:57.945,1106910,-0.719,-0.469,-0.187
2025-11-02 20:34:58.167,1107143,-0.750,-0.500,-0.219
2025-11-02 20:34:58.402,1107370,-0.750,-0.531,-0.187
2025-11-02 20:34:58.637,1107609,-0.750,-0.531,-0.156
2025-11-02 20:34:58.880,1107847,-0.781,-0.500,-0.187
2025-11-02 20:34:59.110,1108081,-0.750,-0.531,-0.156
2025-11-02 20:34:59.347,1108321,-0.750,-0.531,-0.187
2025-11-02 20:34:59.576,1108549,-0.781,-0.500,-0.156
2025-11-02 20:34:59.805,1108777,-0.750,-0.500,-0.187
2025-11-02 20:35:00.032,1109005,-0.750,-0.531,-0.187
2025-11-02 20:35:00.257,1109233,-0.781,-0.500,-0.187
2025-11-02 20:35:00.495,1109461,-0.781,-0.500,-0.156
2025-11-02 20:35:00.725,1109698,-0.781,-0.500,-0.187
2025-11-02 20:35:00.954,1109926,-0.750,-0.469,-0.156
2025-11-02 20:35:01.181,1110154,-0.781,-0.500,-0.187
2025-11-02 20:35:01.411,1110384,-0.781,-0.500,-0.156
2025-11-02 20:35:01.649,1110612,-0.781,-0.500,-0.156
2025-11-02 20:35:01.879,1110852,-0.781,-0.500,-0.187
2025-11-02 20:35:02.111,1111081,-0.781,-0.500,-0.156
2025-11-02 20:35:02.338,1111312,-0.781,-0.500,-0.156
2025-11-02 20:35:02.581,1111549,-0.781,-0.500,-0.125
2025-11-02 20:35:02.820,1111788,-0.781,-0.500,-0.156
2025-11-02 20:35:03.048,1112018,-0.781,-0.500,-0.156
2025-11-02 20:35:03.281,1112250,-0.781,-0.500,-0.156
2025-11-02 20:35:03.509,1112480,-0.781,-0.500,-0.187
2025-11-02 20:35:03.739,1112712,-0.781,-0.500,-0.156
2025-11-02 20:35:03.978,1112941,-0.750,-0.469,-0.187
2025-11-02 20:35:04.203,1113178,-0.781,-0.469,-0.187
2025-11-02 20:35:04.432,1113406,-0.781,-0.500,-0.156
2025-11-02 20:35:04.659,1113634,-0.781,-0.500,-0.187
2025-11-02 20:35:04.896,1113871,-0.781,-0.469,-0.187
2025-11-02 20:35:05.131,1114099,-0.781,-0.469,-0.187
2025-11-02 20:35:05.367,1114337,-0.812,-0.500,-0.187
2025-11-02 20:35:05.591,1114565,-0.812,-0.469,-0.156
2025-11-02 20:35:05.826,1114793,-0.781,-0.469,-0.156
2025-11-02 20:35:06.055,1115028,-0.781,-0.469,-0.156
2025-11-02 20:35:06.289,1115258,-0.781,-0.469,-0.156
2025-11-02 20:35:06.517,1115491,-0.812,-0.469,-0.156
2025-11-02 20:35:06.747,1115720,-0.781,-0.469,-0.156
2025-11-02 20:35:06.986,1115959,-0.812,-0.437,-0.156
2025-11-02 20:35:07.214,1116189,-0.812,-0.469,-0.156
2025-11-02 20:35:07.448,1116417,-0.812,-0.469,-0.156
2025-11-02 20:35:07.675,1116648,-0.812,-0.469,-0.156
2025-11-02 20:35:07.943,1116877,-0.812,-0.469,-0.156
2025-11-02 20:35:08.173,1117143,-0.812,-0.469,-0.156
2025-11-02 20:35:08.405,1117374,-0.781,-0.469,-0.156
2025-11-02 20:35:08.640,1117613,-0.781,-0.469,-0.187
2025-11-02 20:35:08.867,1117841,-0.781,-0.469,-0.156
2025-11-02 20:35:09.095,1118069,-0.781,-0.469,-0.156
2025-11-02 20:35:09.325,1118297,-0.781,-0.469,-0.156
2025-11-02 20:35:09.551,1118525,-0.812,-0.469,-0.156
2025-11-02 20:35:09.782,1118753,-0.812,-0.469,-0.156
2025-11-02 20:35:10.007,1118981,-0.812,-0.469,-0.156
2025-11-02 20:35:10.235,1119209,-0.812,-0.437,-0.156
2025-11-02 20:35:10.464,1119436,-0.812,-0.469,-0.156
2025-11-02 20:35:10.702,1119666,-0.812,-0.469,-0.156
2025-11-02 20:35:10.940,1119905,-0.812,-0.469,-0.156
2025-11-02 20:35:11.167,1120140,-0.812,-0.437,-0.187
2025-11-02 20:35:11.394,1120368,-0.750,-0.500,-0.125
2025-11-02 20:35:11.629,1120596,-0.719,-0.750,-0.031
2025-11-02 20:35:11.862,1120836,-0.594,-0.844,-0.031
2025-11-02 20:35:12.094,1121064,-0.156,-1.062,-0.062
2025-11-02 20:35:12.320,1121295,0.406,-0.781,-0.156
2025-11-02 20:35:12.553,1121522,0.469,-0.281,-0.281
2025-11-02 20:35:12.781,1121753,0.844,-0.469,-0.125
2025-11-02 20:35:13.014,1121982,0.906,-0.406,0.031
2025-11-02 20:35:13.248,1122221,0.719,-0.125,0.000
2025-11-02 20:35:13.492,1122451,0.656,-0.750,-0.156
